學校代碼,學校名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
0001,國立政治大學,D 日,D 博士,948,537,411,88,67,81,62,86,71,79,62,71,57,71,40,61,52,-,-,30 臺北市,1 一般
0001,國立政治大學,D 日,M 碩士,"3,974","1,828","2,146",624,729,591,744,370,409,240,264,3,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,D 日,B 學士,"9,556","3,920","5,636",900,"1,303",920,"1,270",900,"1,313",911,"1,327",-,-,-,-,-,-,289,423,30 臺北市,1 一般
0001,國立政治大學,N 職,M 碩士,"1,632",779,853,227,294,239,214,152,191,88,89,72,65,1,-,-,-,-,-,30 臺北市,1 一般
0002,國立清華大學,D 日,D 博士,"1,663","1,192",471,248,114,193,77,205,76,174,72,112,47,95,31,165,54,-,-,18 新竹市,1 一般
0002,國立清華大學,D 日,M 碩士,"5,570","3,372","2,198","1,430",905,"1,313",731,404,292,216,222,9,26,-,21,-,1,-,-,18 新竹市,1 一般
0002,國立清華大學,D 日,B 學士,"8,888","4,883","4,005","1,267",999,"1,153","1,016","1,108",942,"1,074",865,-,-,-,-,-,-,281,183,18 新竹市,1 一般
0002,國立清華大學,D 日,X 4+X,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,18 新竹市,1 一般
0002,國立清華大學,N 職,M 碩士,"1,366",507,859,219,264,161,269,51,129,25,73,27,44,8,36,16,44,-,-,18 新竹市,1 一般
0003,國立臺灣大學,D 日,D 博士,"3,666","2,510","1,156",516,261,459,199,400,166,298,158,283,132,229,97,325,143,-,-,30 臺北市,1 一般
0003,國立臺灣大學,D 日,M 碩士,"10,720","6,451","4,269","2,695","1,691","2,399","1,529",869,592,488,457,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0003,國立臺灣大學,D 日,B 學士,"16,906","9,525","7,381","2,198","1,688","2,093","1,737","2,088","1,656","2,052","1,499",197,149,173,90,-,-,724,562,30 臺北市,1 一般
0003,國立臺灣大學,N 職,M 碩士,"1,631","1,009",622,351,231,353,227,149,100,65,30,36,9,55,25,-,-,-,-,30 臺北市,1 一般
0004,國立臺灣師範大學,D 日,D 博士,"1,358",619,739,125,113,91,127,91,105,76,104,99,106,69,95,68,89,-,-,30 臺北市,3 師範
0004,國立臺灣師範大學,D 日,M 碩士,"4,359","1,873","2,486",670,890,599,725,387,512,217,359,-,-,-,-,-,-,-,-,30 臺北市,3 師範
0004,國立臺灣師範大學,D 日,B 學士,"8,313","3,723","4,590",936,"1,115",869,"1,137",843,"1,045",795,"1,019",-,-,-,-,-,-,280,274,30 臺北市,3 師範
0004,國立臺灣師範大學,N 職,M 碩士,"2,134",627,"1,507",176,473,203,449,117,259,67,171,30,85,34,70,-,-,-,-,30 臺北市,3 師範
0005,國立成功大學,D 日,D 博士,"1,872","1,267",605,267,135,231,112,229,109,178,85,139,64,115,49,108,51,-,-,21 臺南市,1 一般
0005,國立成功大學,D 日,M 碩士,"7,239","4,614","2,625","2,144","1,133","1,861","1,069",447,281,162,137,-,5,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,D 日,B 學士,"11,758","7,307","4,451","1,861","1,079","1,655","1,072","1,669","1,031","1,561",973,97,76,58,33,-,-,406,187,21 臺南市,1 一般
0005,國立成功大學,N 職,M 碩士,"1,537",947,590,312,220,276,185,214,106,91,49,47,30,6,-,1,-,-,-,21 臺南市,1 一般
0006,國立中興大學,D 日,D 博士,966,659,307,106,64,107,42,104,52,97,52,88,32,62,33,95,32,-,-,19 臺中市,1 一般
0006,國立中興大學,D 日,M 碩士,"3,477","2,053","1,424",923,623,807,560,231,162,88,77,4,2,-,-,-,-,-,-,19 臺中市,1 一般
0006,國立中興大學,D 日,B 學士,"8,069","4,599","3,470","1,140",835,"1,055",797,"1,089",884,"1,082",797,38,49,-,-,-,-,195,108,19 臺中市,1 一般
0006,國立中興大學,N 職,M 碩士,"1,706","1,111",595,410,215,325,233,183,72,105,46,88,29,-,-,-,-,-,-,19 臺中市,1 一般
0006,國立中興大學,P 進,B 學士,936,413,523,101,135,97,109,93,108,73,117,33,45,-,-,-,-,16,9,19 臺中市,1 一般
0007,國立陽明交通大學,D 日,D 博士,"2,653","1,831",822,370,177,287,151,306,153,279,106,223,93,157,61,209,81,-,-,18 新竹市,1 一般
0007,國立陽明交通大學,D 日,M 碩士,"7,547","4,783","2,764","1,905","1,118","1,721","1,030",908,444,244,161,5,10,-,1,-,-,-,-,18 新竹市,1 一般
0007,國立陽明交通大學,D 日,B 學士,"8,431","5,430","3,001","1,289",681,"1,247",697,"1,248",755,"1,093",586,154,99,163,96,6,4,230,83,18 新竹市,1 一般
0007,國立陽明交通大學,N 職,M 碩士,"1,781","1,142",639,378,243,351,220,199,92,133,39,80,44,1,1,-,-,-,-,18 新竹市,1 一般
0008,國立中央大學,D 日,D 博士,"1,007",705,302,148,60,120,48,112,45,113,45,79,43,70,31,63,30,-,-,03 桃園市,1 一般
0008,國立中央大學,D 日,M 碩士,"3,620","2,430","1,190","1,105",513,926,473,277,124,90,67,32,13,-,-,-,-,-,-,03 桃園市,1 一般
0008,國立中央大學,D 日,B 學士,"6,068","3,792","2,276",995,573,911,590,860,518,869,540,-,-,-,-,-,-,157,55,03 桃園市,1 一般
0008,國立中央大學,N 職,M 碩士,"1,433",896,537,344,227,314,204,112,66,74,16,37,19,15,5,-,-,-,-,03 桃園市,1 一般
0009,國立中山大學,D 日,D 博士,823,540,283,115,70,103,63,90,39,76,43,65,28,49,20,42,20,-,-,50 高雄市,1 一般
0009,國立中山大學,D 日,M 碩士,"3,180","1,974","1,206",870,540,718,420,273,172,110,71,3,3,-,-,-,-,-,-,50 高雄市,1 一般
0009,國立中山大學,D 日,B 學士,"4,804","2,926","1,878",737,473,696,432,650,466,680,415,-,-,-,-,-,-,163,92,50 高雄市,1 一般
0009,國立中山大學,N 職,M 碩士,"1,090",534,556,182,217,193,193,95,76,33,38,22,20,9,11,-,1,-,-,50 高雄市,1 一般
0012,國立臺灣海洋大學,D 日,D 博士,330,237,93,34,22,43,11,40,23,38,12,24,10,21,3,37,12,-,-,17 基隆市,1 一般
0012,國立臺灣海洋大學,D 日,M 碩士,"1,430",943,487,393,226,352,161,128,57,42,24,17,9,9,7,2,3,-,-,17 基隆市,1 一般
0012,國立臺灣海洋大學,D 日,B 學士,"6,072","4,156","1,916","1,036",485,983,459,949,484,926,448,-,-,-,-,-,-,262,40,17 基隆市,1 一般
0012,國立臺灣海洋大學,N 職,M 碩士,647,403,244,167,99,129,75,53,39,22,18,13,6,15,3,4,4,-,-,17 基隆市,1 一般
0012,國立臺灣海洋大學,N 修,X 4+X,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,17 基隆市,1 一般
0012,國立臺灣海洋大學,P 進,B 學士,588,378,210,128,41,126,58,56,40,47,50,-,-,-,-,-,-,21,21,17 基隆市,1 一般
0013,國立中正大學,D 日,D 博士,549,365,184,53,32,53,24,62,34,53,25,48,27,46,18,50,24,-,-,10 嘉義縣,1 一般
0013,國立中正大學,D 日,M 碩士,"2,821","1,730","1,091",695,433,671,372,243,151,115,129,6,6,-,-,-,-,-,-,10 嘉義縣,1 一般
0013,國立中正大學,D 日,B 學士,"6,414","3,483","2,931",883,729,842,735,815,691,786,713,-,-,-,-,-,-,157,63,10 嘉義縣,1 一般
0013,國立中正大學,N 職,M 碩士,"1,428",616,812,216,287,195,270,92,144,65,71,48,40,-,-,-,-,-,-,10 嘉義縣,1 一般
0014,國立高雄師範大學,D 日,D 博士,458,222,236,37,36,30,39,28,37,31,28,32,33,28,26,36,37,-,-,50 高雄市,3 師範
0014,國立高雄師範大學,D 日,M 碩士,"1,442",519,923,186,272,135,264,99,183,73,157,16,26,6,10,4,11,-,-,50 高雄市,3 師範
0014,國立高雄師範大學,D 日,B 學士,"3,793","1,874","1,919",498,467,421,488,449,457,440,450,-,-,-,-,-,-,66,57,50 高雄市,3 師範
0014,國立高雄師範大學,N 職,M 碩士,"1,454",520,934,175,341,187,275,67,160,36,66,31,49,24,43,-,-,-,-,50 高雄市,3 師範
0015,國立彰化師範大學,D 日,D 博士,506,300,206,43,39,52,26,40,33,49,27,43,31,41,26,32,24,-,-,07 彰化縣,3 師範
0015,國立彰化師範大學,D 日,M 碩士,"1,655",828,827,328,301,282,253,124,150,90,111,4,6,-,6,-,-,-,-,07 彰化縣,3 師範
0015,國立彰化師範大學,D 日,B 學士,"4,942","2,655","2,287",644,581,637,538,637,558,597,544,-,-,-,-,-,-,140,66,07 彰化縣,3 師範
0015,國立彰化師範大學,N 職,M 碩士,"1,356",568,788,206,245,199,228,57,109,44,85,29,71,33,50,-,-,-,-,07 彰化縣,3 師範
0017,國立臺北大學,D 日,D 博士,212,142,70,27,10,25,15,29,11,19,7,11,11,17,8,14,8,-,-,01 新北市,1 一般
0017,國立臺北大學,D 日,M 碩士,"1,404",710,694,272,286,257,224,118,103,62,77,1,4,-,-,-,-,-,-,01 新北市,1 一般
0017,國立臺北大學,D 日,B 學士,"5,956","2,733","3,223",713,760,652,775,631,804,591,764,-,-,-,-,-,-,146,120,01 新北市,1 一般
0017,國立臺北大學,N 職,M 碩士,595,279,316,125,121,97,117,38,43,13,22,6,13,-,-,-,-,-,-,01 新北市,1 一般
